,cluster_0_membership,cluster_1_membership,cluster_2_membership,cluster_3_membership,cluster_4_membership,cluster_5_membership
2023-01-01,5.990962986473026,63.135324524592484,6.797052395038927,8.883666847476821,2.321576315697917,12.871416930720821
2023-01-02,5.754474622062305,27.534808646893495,6.297714626262375,7.746971930342511,2.8741471936614893,49.79188298077782
2023-01-03,8.084776675840587,21.548936976661334,8.549588798481238,31.218611243680755,4.874277653969931,25.72380865136614
2023-01-04,17.829935608423934,23.42321164364421,18.638062120298223,14.97595319097461,10.322411139627159,14.810426297031887
2023-01-05,12.227276656485408,16.869551393964144,12.608512973344238,41.69853837976241,7.302746519044471,9.293374077399308
2023-01-06,9.383325976008898,14.7013072955319,9.666937172312267,48.26157988143148,6.403470378932048,11.58337929578342
2023-01-07,17.826174213703453,13.89036357605486,17.544703730788367,28.822574729374594,13.998457076365861,7.917726673712864
2023-01-08,3.5128745139548307,12.093864662442536,3.772237615560748,5.794710796602106,2.0309501749694525,72.79536223647033
2023-01-09,5.273029422994104,24.656004705466174,5.759577369454613,7.243493783587937,2.675069846557927,54.39282487193925
2023-01-10,11.836671200770006,42.687673262642676,13.244092340452674,12.289441230400346,4.762280253262836,15.179841712471465
2023-01-11,2.835035979410722,12.932905762419692,3.0788284402707538,4.492487898564198,1.504658574340421,75.1560833449942
2023-01-12,9.719233272027559,37.32904548944244,10.629885788115857,12.0680345771439,4.630613208324751,25.62318766494549
2023-01-13,4.069057678140328,16.74549350909797,4.389365626772921,9.937549902767516,2.244611115539028,62.61392216768223
2023-01-14,4.410544086290434,32.98118999912611,4.8629947294646465,7.522004787065467,2.0861938995445803,48.13707249850875
2023-01-15,4.992801335066957,17.12347029725333,5.34352445414386,11.399077126930989,2.9083414422711806,58.232785344333685
2023-01-16,3.329556470420749,11.93507501897267,3.5760353882535565,6.394556713070647,1.9167439836292468,72.84803242565313
2023-01-17,1.8693896135870243,8.82677773461272,2.025736742609616,3.732284635102581,1.0048400494762766,82.54097122461178
2023-01-18,2.1512475714738524,12.145116121446122,2.34364636825627,4.360275476766635,1.1101511252298846,77.88956333682722
2023-01-19,21.274624811509163,17.354668326716574,21.730616117264237,20.679721347060497,11.099953029999506,7.860416367450014
2023-01-20,14.81534260417043,13.235542084259713,14.737032845702783,38.61963150366426,10.992131764464697,7.60031919773813
2023-01-21,19.80687636278885,13.209993095469514,19.211450341650345,22.60486167581118,17.504983345968288,7.661835178311815
2023-01-22,6.495339497292226,50.385501665266766,7.2326342890892885,9.96197257355995,2.8209623388998333,23.103589635891936
2023-01-23,5.5739333786453304,45.0361826031275,6.160311599254345,16.41678118163964,2.5246781142149386,24.28811312311826
2023-01-24,11.658014453529985,13.863473134516136,11.764805564317275,43.0351548668271,9.195634082606345,10.482917898203173
2023-01-25,13.531059238284268,14.559725900726072,13.515206641923843,33.381292677867,12.507112757743984,12.505602783454833
2023-01-26,12.499678499226752,14.426981185093085,12.572919406956443,37.733202968311595,10.661496792516475,12.105721147895657
2023-01-27,8.977543991021554,19.167948174401403,9.443030473454824,38.35283175395443,5.529521164995726,18.529124442172073
2023-01-28,1.1240301892830526,5.661205154212614,1.2278717720789125,1.9440967667706668,0.5800408866088801,89.46275523104588
2023-01-29,9.312981940933039,17.09299662739333,9.727349014864279,43.05953081193615,5.937979108393739,14.869162496479468
2023-01-30,6.248875674404031,35.60866500784073,6.976522884448647,9.944426606078585,2.8257064766235196,38.39580335060448
2023-01-31,7.149624197848367,61.76963622666373,8.303206802905345,8.00956186825096,2.539866099471013,12.22810480486058
2023-02-01,3.3234523411222154,77.93491969100447,3.8309314097229166,4.70233936615862,1.2296833062959758,8.978673885695782
2023-02-02,3.7860125214526295,27.806143630426032,4.214172461446799,5.960079735942608,1.7442227099761893,56.489368940755746
2023-02-03,11.061121455309053,51.61265489378487,13.147998234663902,13.156880606547785,3.2879928044535904,7.733352005240797
2023-02-04,6.7095849484970795,32.71504193368767,7.362975519518029,20.05154302230326,3.2437692286725577,29.917085347321404
2023-02-05,9.286133860196086,46.62770469160334,10.368517512607234,17.095046451452227,3.703096623388552,12.91950086075255
2023-02-06,4.094503152428244,29.47682149097038,4.531181098228579,8.01218657137651,1.9195608920324823,51.965746794963806
2023-02-07,19.056307409988605,11.287624711228164,19.068833704699163,36.368342287324175,9.469043706083069,4.749848180676831
2023-02-08,9.292813191769799,12.954220850636602,9.70486679217138,54.30860849261341,5.523975996075248,8.215514676733546
2023-02-09,13.16545143963169,10.388702627424335,13.73356973627794,52.99749800880359,5.6573976474983425,4.057380540364096
2023-02-10,21.779126014221156,22.452806385638755,25.516010481610262,18.795463941692347,5.652246884820776,5.8043462920166915
2023-02-11,9.357640484909624,7.598600116186445,9.593954337959447,65.41074830950802,4.7257882917481435,3.313268459688312
2023-02-12,20.586936121715173,11.406601516435362,20.170609572616122,30.44629240499634,12.192442196670433,5.197118187566571
2023-02-13,18.84581262980418,10.283974432711041,18.320387406117614,35.46490813775662,12.213843138907,4.871074254703544
2023-02-14,20.0844343825763,10.446418260534285,19.315704808260797,30.729985759594246,14.321418325090454,5.102038463943915
2023-02-15,19.655407387571174,11.024535692765527,19.67314606228276,35.53952563658246,9.5015992451211,4.605785975676969
2023-02-16,25.236355685380307,19.218837578573766,29.065187071371344,14.237775597525712,6.605277223609596,5.636566843539269
